TransactionDateYYYMM	TransactionTypeID	DeviceSNR	DeviceLocationName	DeviceLocationAddress	DeviceLocationShopID	ShopID	ShopName	ShopAddress	Sum_EUR
201602	11	53000091	K65 Vilnius Šilo tiltas 1	Antakalnio g. 50, Vilnius	113	113	Lietuvos spauda	NULL	1572229.000000
201602	11	53000107	K93 Vilnius Birute	Žirmunu g.54, Vilnius	113	113	Lietuvos spauda	NULL	1422740.000000
201602	10	53000192	K84 Vilnius Aule	Gedvydžiu g. 6, Vilnius	113	113	Lietuvos spauda	NULL	126326.000000
201602	10	53000206	K49 Vilnius Aerouostas 2	Rodunes kelias 2, Vilnius	113	113	Lietuvos spauda	NULL	106044.000000
201602	10	53000216	K45 Vilnius Gedimino-Kazino	Gedimino pr.19 prie Vienuolio g., Vilnius	113	113	Lietuvos spauda	NULL	170488.000000
201602	10	53000226	X-676 13	MXM 2X Viršuliškiu g.	115	115	Maxima	NULL	35947.000000
201602	10	53000242	Kioskas Nr. K582	Ozo g. 25, Vilnius	113	113	Lietuvos spauda	NULL	24794.000000
201602	10	53000248	K37 Vilnius Gerosios Vilties 1	Savanoriu pr.53, Vilnius	113	113	Lietuvos spauda	NULL	106599.000000
201602	10	53000297	Vyduno K19	Papilenu g. 25, Vilnius	114	114	Vaskota	NULL	95028.000000
201602	10	53000299	K169 Vilnius Naugarduko	Naugarduko g.24, Vilnius	113	113	Lietuvos spauda	NULL	20653.000000
201602	10	53000318	K97 Vilnius Agota	Šeškines g. 59, Vilnius	113	113	Lietuvos spauda	NULL	71655.000000
201602	10	53000356		Justiniškiu g. 62A, 05009 Vilnius	116	116	Lietuvos paštas	NULL	200.000000
201602	10	53000363	K122 Vilnius Spaudos rumai 1	Sacharovo a. Laisves pr.60, Vilnius	113	113	Lietuvos spauda	NULL	247339.000000
201602	10	53000381		Architektu g. 19, 04001 Vilnius	116	116	Lietuvos paštas	NULL	1820.000000
201602	10	53000391	602-asis klientu aptarnavimo skyrius	Žirmunu g.2 (prie PC "Iki-Minskas"), Vilnius	116	116	Lietuvos paštas	NULL	300.000000
201602	10	53000394		Žirmunu g. 67, 09026 Vilnius	116	116	Lietuvos paštas	NULL	840.000000
201602	10	53000395		S. Dariaus ir S. Gireno g. 8, 02011 Vilnius	116	116	Lietuvos paštas	NULL	900.000000
201602	10	53000404	601-asis klientu aptarnavimo skyrius	Žirmunu g. 64 g. (prie PC "Hyper RIMI"), Vilnius	116	116	Lietuvos paštas	NULL	6734.000000
201602	10	53000417	K31 Vilnius Kalvariju-Žalgirio	Kalvariju g.90, Vilnius	113	113	Lietuvos spauda	NULL	227365.000000
201602	10	53000441	508-asis klientu aptarnavimo skyrius	Jeruzales g. 16 (Kalvariju g. ir Braškiu g. sankirta Jeruzales mikrorajonas), Vilnius	116	116	Lietuvos paštas	NULL	6530.000000
